dimension,variant_a,variant_b,n_pairs,mean_a,mean_b,delta,delta_lo,delta_hi,cliffs_delta,effect,p_raw,p_holm,significant,note
tone_score,v0,v1,12,2.4166666666666665,4.583333333333333,2.1666666666666665,1.666666666666667,2.5833333333333335,1.0,large,0.00048828125,0.005859375,True,
tone_score,v0,v2,12,2.4166666666666665,4.583333333333333,2.1666666666666665,1.6666666666666667,2.5833333333333335,1.0,large,0.00048828125,0.005859375,True,
top_dollar_recall,v0,v1,11,0.19090909090909092,0.9090909090909091,0.7181818181818181,0.5454545454545454,0.8545454545454546,0.9504132231404959,large,0.0009765625,0.009765625,True,
top_dollar_recall,v0,v2,11,0.19090909090909092,0.9090909090909091,0.7181818181818181,0.5454545454545454,0.8545454545454546,0.9504132231404959,large,0.0009765625,0.009765625,True,
anomaly_surface_rate,v0,v1,8,0.0,0.6458333333333333,0.6458333333333333,0.5208333333333333,0.8333333333333333,1.0,large,0.0078125,0.0625,False,
anomaly_surface_rate,v0,v2,8,0.0,0.7083333333333333,0.7083333333333333,0.41666666666666663,0.8958333333333333,0.875,large,0.015625,0.109375,False,
factual_precision,v1,v2,12,0.7643338143338144,0.8376076945929888,0.07327388025917438,0.022723058771562235,0.14150291096129256,0.2777777777777778,small,0.037109375,0.22265625,False,
factual_precision,v0,v2,12,0.6083333333333333,0.8376076945929888,0.22927436125965536,0.05560029229242773,0.4535370218837648,0.1736111111111111,small,0.12890625,0.64453125,False,
top_dollar_recall,v1,v2,11,0.9090909090909091,0.9090909090909091,0.0,0.0,0.0,0.0,negligible,1.0,1.0,False,identical on every pair
anomaly_surface_rate,v1,v2,8,0.6458333333333333,0.7083333333333333,0.0625,-0.375,0.3125,0.203125,small,1.0,1.0,False,
tone_score,v1,v2,12,4.583333333333333,4.583333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.0,negligible,1.0,1.0,False,
factual_precision,v0,v1,12,0.6083333333333333,0.7643338143338144,0.156000481000481,-0.04458022501258314,0.39162858266483913,0.125,negligible,0.30078125,1.0,False,
